,gender,age,time,year,time_seconds
1308,M,49,1:42:26,2018,6146
1309,F,43,1:42:32,2018,6152
1310,M,50,1:42:33,2018,6153
1311,M,35,1:42:34,2018,6154
1312,M,28,1:43:02,2018,6182
1313,M,57,1:43:06,2018,6186
1314,F,32,1:43:07,2018,6187
1315,M,48,1:43:22,2018,6202
1316,M,25,1:43:26,2018,6206
1317,F,37,1:43:28,2018,6208
1318,M,20,1:43:36,2018,6216
1319,M,62,1:43:37,2018,6217
1320,F,31,1:43:40,2018,6220
1321,F,29,1:43:43,2018,6223
1322,M,38,1:43:44,2018,6224
1323,F,29,1:43:44,2018,6224
1324,F,29,1:43:48,2018,6228
1325,F,41,1:43:52,2018,6232
1326,M,26,1:43:56,2018,6236
1327,F,49,1:44:01,2018,6241
1328,F,40,1:44:02,2018,6242
1329,M,55,1:44:07,2018,6247
1330,F,54,1:44:13,2018,6253
1331,F,34,1:44:17,2018,6257
1332,M,38,1:44:23,2018,6263
1333,M,60,1:44:26,2018,6266
1334,F,24,1:44:41,2018,6281
1335,F,30,1:44:52,2018,6292
1336,F,52,1:44:54,2018,6294
1337,M,28,1:45:00,2018,6300
1338,F,32,1:45:09,2018,6309
1339,F,58,1:45:17,2018,6317
1340,M,49,1:45:47,2018,6347
1341,M,57,1:45:47,2018,6347
1342,F,38,1:45:51,2018,6351
1343,F,29,1:46:01,2018,6361
1344,F,25,1:46:02,2018,6362
1345,F,31,1:46:33,2018,6393
1346,F,36,1:46:35,2018,6395
1347,M,60,1:46:36,2018,6396
1348,F,40,1:46:36,2018,6396
1349,M,37,1:46:40,2018,6400
1350,F,55,1:47:01,2018,6421
1351,F,30,1:47:17,2018,6437
1352,M,30,1:47:17,2018,6437
1353,F,27,1:47:27,2018,6447
1354,M,39,1:47:33,2018,6453
1355,F,37,1:47:34,2018,6454
1356,F,27,1:47:44,2018,6464
1357,M,21,1:47:50,2018,6470
1358,M,35,1:47:54,2018,6474
1359,M,39,1:48:13,2018,6493
1360,M,33,1:48:22,2018,6502
1361,F,32,1:48:49,2018,6529
1362,M,31,1:48:52,2018,6532
1363,M,50,1:48:56,2018,6536
1364,F,47,1:48:56,2018,6536
1365,F,42,1:48:56,2018,6536
1366,M,63,1:48:59,2018,6539
1367,F,37,1:49:27,2018,6567
1368,F,24,1:49:37,2018,6577
1369,F,53,1:49:40,2018,6580
1370,F,34,1:49:43,2018,6583
1371,F,35,1:49:43,2018,6583
1372,F,25,1:49:45,2018,6585
1373,M,43,1:49:49,2018,6589
1374,F,26,1:49:50,2018,6590
1375,F,45,1:49:57,2018,6597
1376,M,29,1:50:02,2018,6602
1377,M,39,1:50:10,2018,6610
1378,F,20,1:50:11,2018,6611
1379,F,36,1:50:12,2018,6612
1380,F,43,1:50:12,2018,6612
1381,M,32,1:50:25,2018,6625
1382,F,26,1:50:35,2018,6635
1383,F,31,1:50:44,2018,6644
1384,F,36,1:50:57,2018,6657
1385,F,54,1:51:24,2018,6684
1386,F,59,1:51:26,2018,6686
1387,F,26,1:51:41,2018,6701
1388,M,61,1:51:43,2018,6703
1389,F,39,1:51:47,2018,6707
1390,M,31,1:52:36,2018,6756
1391,F,32,1:52:56,2018,6776
1392,M,35,1:53:17,2018,6797
1393,M,27,1:53:31,2018,6811
1394,F,24,1:53:38,2018,6818
1395,F,57,1:56:17,2018,6977
1396,F,56,1:56:42,2018,7002
1397,M,40,1:56:48,2018,7008
1398,M,32,1:56:58,2018,7018
1399,M,23,1:56:58,2018,7018
1400,F,28,1:57:00,2018,7020
1401,F,48,1:57:15,2018,7035
1402,F,51,1:57:15,2018,7035
1403,F,43,1:57:17,2018,7037
1404,F,37,1:57:21,2018,7041
1405,M,62,1:57:31,2018,7051
1406,F,59,1:57:33,2018,7053
1407,F,31,1:57:36,2018,7056
1408,F,30,1:57:57,2018,7077
1409,M,35,1:57:57,2018,7077
1410,M,21,1:58:06,2018,7086
1411,M,27,1:58:24,2018,7104
1412,M,65,1:58:29,2018,7109
1413,F,43,1:58:45,2018,7125
1414,F,62,1:58:50,2018,7130
1415,F,43,1:58:51,2018,7131
1416,F,56,1:58:52,2018,7132
1417,M,48,1:59:01,2018,7141
1418,F,37,1:59:07,2018,7147
1419,F,30,1:59:10,2018,7150
1420,F,38,1:59:35,2018,7175
1421,F,37,2:00:01,2018,7201
1422,M,48,2:00:08,2018,7208
1423,F,79,2:00:53,2018,7253
1424,F,58,2:01:12,2018,7272
1425,F,61,2:02:16,2018,7336
1426,F,27,2:02:17,2018,7337
1427,F,39,2:02:41,2018,7361
1428,M,42,2:02:42,2018,7362
1429,M,36,2:02:46,2018,7366
1430,F,26,2:02:59,2018,7379
1431,M,54,2:03:10,2018,7390
1432,M,53,2:03:26,2018,7406
1433,M,77,2:03:50,2018,7430
1434,F,49,2:03:53,2018,7433
1435,M,25,2:03:56,2018,7436
1436,F,43,2:04:17,2018,7457
1437,M,72,2:04:44,2018,7484
1438,F,68,2:04:57,2018,7497
1439,M,31,2:05:34,2018,7534
1440,F,29,2:05:34,2018,7534
1441,F,33,2:05:34,2018,7534
1442,M,41,2:05:55,2018,7555
1443,F,58,2:07:04,2018,7624
1444,F,48,2:07:36,2018,7656
